Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Villanova,BE,40,35,124.02,92.06,0.96881,56.18,46.741,16.355,2.0,1.0,20.640,28.2224,29.4148,34.1241,30.044,57.42,44.123,36.2102,33.9131,42.731,37.4262,65.8289,+9.02
_Kansas,B12,37,32,121.68,91.44,0.96392,55.71,45.116,17.8151,1.0,8.0,18.5145,32.285,27.986,38.6113,37.3180,52.732,43.418,41.35,32.560,32.8234,32.579,69.2113,+11.41
_Virginia,ACC,37,29,120.89,92.17,0.95743,54.817,48.494,15.113,1.0,8.0,18.8126,29.9162,25.217,32.1289,33.494,52.634,46.372,40.39,34.7168,28.3322,36.7229,60.9351,+8.73
_North_Carolina,ACC,40,33,124.31,96.127,0.95074,52.653,48.183,15.421,1.0,2.0,18.2165,40.73,30.0183,32.3280,30.450,53.921,44.634,32.7255,36.2256,26.7338,35.6180,70.857,+8.54
_Kentucky,SEC,36,27,123.93,96.33,0.94775,53.539,44.56,16.249,4.0,32.0,18.0178,37.512,31.9275,37.8140,40.8265,52.929,42.711,36.674,32.664,31.0273,29.618,67.3215,+5.014
_Michigan_St_,B10,35,29,123.44,97.139,0.94056,56.37,43.33,17.6133,2.0,,14.2343,37.116,24.37,30.0327,34.1109,51.464,41.76,43.41,31.017,35.6163,32.579,66.7250,+7.47
_West_Virginia,B12,35,26,115.726,91.65,0.93617,49.8174,48.494,20.0291,3.0,,25.02,42.01,27.160,46.25,55.3351,50.3103,47.7120,32.5266,33.185,30.6276,36.3210,70.087,+7.38
_Oklahoma,B12,37,29,119.112,94.517,0.93478,54.322,47.255,18.3193,2.0,4.0,17.7198,31.2123,30.5210,33.0269,28.329,48.2199,45.347,42.22,33.7114,40.759,35.7185,69.989,+7.95
_Purdue,B10,35,26,118.119,94.415,0.92989,53.635,44.34,17.7139,5.0,,13.7348,35.030,23.43,35.4205,28.126,52.831,42.916,36.769,31.430,35.8160,33.196,68.0175,+4.515
_Wichita_St_,MVC,34,25,111.171,89.01,0.92771,48.9221,44.71,14.79,11.0,32.0,23.25,31.7105,23.64,37.4154,45.4327,49.2147,42.18,32.3275,32.769,38.1104,37.0241,65.9284,+0.2847
_Gonzaga,WCC,35,27,118.417,95.625,0.921112,55.213,44.812,17.11,11.0,16.0,15.1328,32.190,26.035,34.4233,28.126,54.316,44.427,37.842,30.38,35.6163,32.784,67.3218,+2.231
_Xavier,BE,34,28,117.82,95.324,0.919313,51.4105,47.873,17.4117,2.0,32.0,19.393,35.228,26.035,41.752,33.6104,49.8122,48.6157,36.390,31.120,34.2208,40.5318,71.543,+7.76
_Miami_FL,ACC,35,27,120.31,97.749,0.916514,54.223,48.39,16.569,3.0,16.0,17.4216,30.1158,29.5156,40.777,29.136,53.225,46.990,37.545,34.4155,33.9213,30.425,66.1271,+6.99
