Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Ohio_St_,B10,37,34,126.01,91.811,0.97421,56.32,48.3126,15.87,1.0,16.0,23.231,35.760,28.435,37.1193,20.61,52.912,46.9130,42.31,34.0147,32.7171,34.6231,63.8246,+11.71
_Kansas,B12,38,35,120.94,91.06,0.96332,57.01,44.511,19.1111,1.0,8.0,20.1159,36.729,27.920,39.3123,31.957,56.81,44.542,38.224,29.89,32.4179,34.6231,68.048,+10.22
_Duke,ACC,37,32,120.65,91.58,0.96003,53.717,44.511,17.229,1.0,16.0,21.0100,35.179,33.2214,37.4183,29.632,52.516,43.116,37.445,32.458,35.3113,24.55,68.538,+9.33
_Texas,B12,36,28,115.521,90.02,0.94604,50.2108,42.53,17.331,4.0,,18.8248,38.29,30.693,43.147,30.743,48.1158,41.95,37.636,29.56,25.5324,26.112,65.5157,+5.413
_Kentucky,SEC,38,29,119.37,93.422,0.94375,52.341,44.29,16.11,4.0,4.0,18.2274,34.397,30.798,36.1219,30.138,48.8123,42.46,39.79,32.458,32.4179,29.772,64.8191,+5.215
_Pittsburgh,BE,34,28,119.86,94.126,0.94136,52.928,45.118,18.475,1.0,32.0,17.5303,42.92,28.642,43.147,32.361,50.561,43.219,39.511,32.668,27.4292,33.0184,62.2305,+7.56
_Wisconsin,B10,34,25,123.13,97.865,0.93337,51.854,48.2122,13.11,4.0,16.0,16.8321,33.8113,27.111,29.5328,32.972,48.9117,45.264,37.445,37.0299,41.222,29.461,56.5345,+5.612
_Notre_Dame,BE,34,27,123.12,98.17,0.93178,53.519,46.762,16.414,2.0,32.0,15.8337,33.4131,29.564,45.128,25.63,50.752,43.624,38.621,35.3218,38.648,33.2193,63.0276,+7.75
_Purdue,B10,34,26,115.222,92.013,0.92969,50.789,46.035,15.76,3.0,32.0,21.289,32.4163,29.770,34.4259,30.441,48.8123,44.956,36.472,32.668,33.0161,27.931,65.6152,+7.09
_San_Diego_St_,MWC,35,32,113.729,90.95,0.92901,50.5101,44.18,16.92,2.0,16.0,19.4205,37.517,29.875,31.1311,28.019,50.272,42.711,34.2176,31.631,30.0245,29.669,62.2306,+8.74
_North_Carolina,ACC,37,29,112.739,90.74,0.924211,49.1168,46.243,18.37,2.0,8.0,19.6193,37.125,30.178,37.9164,24.82,49.1110,44.438,32.8245,33.197,25.0327,34.5228,70.417,+7.37
