Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Kentucky,SEC,39,38,121.86,86.11,0.98171,51.575,39.61,16.332,1.0,4.0,21.339,39.58,31.8208,43.930,31.763,51.252,39.12,34.9138,27.11,27.1323,30.569,62.8260,+13.01
_Duke,ACC,39,35,126.83,92.811,0.97312,56.64,46.569,16.332,1.0,1.0,18.6201,35.832,30.2124,39.897,23.92,55.94,46.3110,38.725,31.440,33.4197,27.815,65.894,+10.64
_Wisconsin,B10,40,36,130.51,95.837,0.97223,54.816,47.711,12.41,1.0,2.0,15.8332,32.1123,23.72,36.2189,22.41,54.88,44.761,36.578,37.5305,37.488,25.76,58.7344,+11.32
_Arizona,P12,38,34,119.211,89.23,0.96554,53.531,45.125,16.539,2.0,8.0,20.676,34.562,22.41,47.18,37.3191,53.318,42.718,36.089,33.5129,25.9334,31.590,66.182,+8.96
_Villanova,BE,36,33,123.64,93.314,0.96205,55.313,45.536,16.332,1.0,32.0,21.627,32.5115,31.2172,41.858,30.439,53.022,45.381,38.921,30.520,42.922,32.2112,64.1184,+11.23
_Virginia,ACC,34,30,113.93,86.42,0.95996,50.696,42.34,15.713,2.0,32.0,17.9243,34.369,24.25,34.9231,28.622,49.788,40.13,35.2123,30.824,27.5318,36.6252,57.8349,+9.95
_Gonzaga,WCC,37,34,122.05,95.23,0.94557,57.92,44.214,16.126,2.0,8.0,17.1285,33.982,28.043,38.7121,30.542,57.02,42.07,40.09,33.096,31.8236,30.358,64.6156,+7.99
_Utah,P12,34,25,116.517,91.08,0.94498,55.214,43.05,18.2108,5.0,16.0,18.3218,31.3157,28.455,43.437,34.3124,52.332,41.45,40.18,31.232,37.391,29.330,60.7323,+3.720
_North_Carolina,ACC,38,26,121.27,94.622,0.94499,51.673,45.434,18.2108,4.0,16.0,17.7258,40.05,31.2172,35.2224,37.8198,50.956,45.688,35.896,30.011,22.3350,36.8260,69.313,+6.412
_Notre_Dame,ACC,38,32,127.02,100.9112,0.93351,58.31,47.9115,14.53,3.0,8.0,17.3272,27.9277,32.2229,36.7173,24.15,58.21,47.4155,39.019,32.680,37.683,31.590,63.3230,+8.48
