Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Gonzaga,WCC,39,37,118.517,87.21,0.97131,56.68,41.11,16.235,1.0,2.0,17.1264,30.0142,26.248,39.076,26.919,56.37,40.02,38.240,29.02,32.8256,32.139,70.275,+7.88
_North_Carolina,ACC,40,33,121.69,92.49,0.95922,51.7111,48.168,16.235,1.0,1.0,18.6164,41.31,25.025,34.3206,31.682,51.098,46.359,35.5147,33.9106,30.3305,39.3272,71.435,+8.35
_Villanova,BE,36,32,122.95,93.518,0.95863,57.54,48.168,17.173,1.0,32.0,20.168,30.2137,27.8109,35.0177,22.11,59.22,49.1159,36.984,31.117,43.330,40.0292,64.3320,+11.01
_Florida,SEC,36,27,117.323,90.03,0.95484,51.6116,45.818,16.96,4.0,8.0,21.032,32.173,29.5190,40.255,34.0152,50.3129,45.742,35.9127,30.510,36.6169,31.327,68.9125,+6.314
_Kentucky,SEC,38,32,119.113,92.37,0.94935,52.965,47.543,15.719,2.0,8.0,19.2133,33.549,27.7104,40.940,33.5133,52.942,48.3128,35.3154,30.611,31.6287,33.363,72.422,+9.03
_West_Virginia,B12,37,28,116.03,90.35,0.94716,51.3136,48.894,17.067,4.0,16.0,27.61,37.96,31.9287,38.977,42.5313,49.8152,46.562,36.2111,35.3183,32.5266,36.3174,70.953,+6.313
_Virginia,ACC,34,23,112.548,87.92,0.94487,52.482,46.121,15.616,5.0,32.0,20.744,28.3207,24.513,26.0345,33.8146,49.7158,45.125,38.528,31.729,33.0252,39.8289,59.0351,+5.022
_Louisville,ACC,34,25,118.221,92.48,0.94478,51.4126,45.717,16.025,2.0,32.0,19.698,36.713,28.5141,34.0219,38.8244,50.5120,44.823,35.5147,31.626,32.1279,35.6152,68.1187,+6.89
_Kansas,B12,36,31,122.28,95.632,0.94429,56.112,48.168,17.698,1.0,8.0,18.6164,34.136,29.7200,36.0159,30.055,53.629,45.329,40.45,35.6198,35.9183,34.297,70.084,+10.92
_Duke,ACC,37,28,122.86,96.543,0.94081,54.828,47.439,16.341,2.0,32.0,17.3251,31.783,29.8203,39.372,31.275,53.532,48.9149,37.949,29.34,38.3125,28.88,68.3171,+8.54
