Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Gonzaga,WCC,37,33,124.41,91.08,0.97321,59.01,44.27,14.914,1.0,8.0,19.0137,31.576,26.8106,35.3103,25.920,61.41,43.46,36.377,30.420,35.3262,34.952,70.353,+7.212
_Virginia,ACC,38,35,123.82,91.19,0.97142,55.219,44.78,14.711,1.0,1.0,17.5235,30.4101,25.450,29.1277,26.321,52.574,45.722,39.57,28.93,39.5149,42.5298,59.2353,+11.12
_Texas_Tech,B12,38,31,115.917,86.41,0.96703,53.555,43.02,17.712,3.0,2.0,22.812,27.4203,28.7199,32.9185,36.6269,52.869,41.92,36.567,29.712,36.0242,40.3240,65.9260,+7.013
_Michigan,B10,37,30,115.323,86.82,0.96344,51.6126,44.15,13.94,2.0,16.0,18.0202,24.7282,24.832,27.5308,24.19,51.899,44.311,34.2175,29.16,39.9142,30.13,64.4324,+9.26
_Duke,ACC,38,32,119.68,90.46,0.96185,53.652,45.09,17.5108,1.0,8.0,19.4108,35.614,29.5235,33.2180,24.08,58.04,45.018,30.8326,29.914,37.3209,35.055,72.219,+11.21
_Michigan_St_,B10,39,32,120.67,92.313,0.95616,55.219,43.94,18.5169,2.0,4.0,14.9342,33.926,26.491,33.6166,27.540,54.338,41.92,37.830,31.635,37.8190,37.2129,67.1202,+10.63
_North_Carolina,ACC,36,29,120.86,92.614,0.95517,52.978,48.986,17.28,1.0,16.0,18.3177,35.316,22.87,30.2255,28.460,52.191,47.973,36.281,33.5118,35.8250,43.8320,74.54,+10.04
_Kentucky,SEC,37,30,118.312,91.07,0.95338,53.074,46.622,18.618,2.0,8.0,17.9211,36.88,25.554,41.914,26.826,52.965,43.67,35.4113,34.3170,29.6341,38.6183,65.3292,+8.87
_Purdue,B10,36,26,123.54,95.631,0.95019,53.652,49.094,15.824,3.0,8.0,18.6157,34.520,27.0115,29.9264,31.7144,51.5108,47.256,37.443,34.2160,45.532,43.2307,65.5282,+6.117
_Tennessee,SEC,37,31,123.53,96.542,0.94471,55.318,48.148,15.824,2.0,16.0,18.0202,31.672,30.2260,33.3176,34.9232,55.422,44.714,36.761,35.4232,32.2324,40.2235,67.3194,+9.85
_Houston,Amer,37,33,116.616,91.611,0.941111,52.1105,42.51,16.548,3.0,16.0,18.2180,34.421,26.075,31.6224,37.3282,51.3120,43.05,35.5111,27.91,42.682,41.1268,65.7272,+7.99
_Auburn,SEC,40,30,122.05,96.439,0.937612,54.431,51.7216,16.861,5.0,4.0,24.62,31.672,32.8325,30.9238,36.4265,51.7102,51.4231,38.121,34.8200,49.68,43.4312,67.8161,+6.116
_Virginia_Tech,ACC,35,26,118.611,94.526,0.931513,55.614,49.094,17.39,4.0,16.0,21.626,29.6122,27.2132,31.9211,26.321,52.965,49.0125,39.49,32.774,43.754,49.9351,63.7332,+5.020
_Kansas_St_,B12,34,25,108.885,89.04,0.909814,49.4236,48.254,17.4102,4.0,,22.812,28.3176,25.764,30.6244,30.7122,48.9226,49.0125,33.4221,31.431,38.4179,42.9302,63.4341,+6.614
_Florida_St_,ACC,37,29,112.539,92.112,0.909515,50.5176,47.228,18.9206,4.0,16.0,20.366,32.843,27.0115,35.890,35.7246,50.9143,45.321,33.2230,33.5118,37.7193,38.8188,68.5121,+7.710
_Iowa_St_,B12,35,23,119.19,97.855,0.906216,54.726,48.464,16.339,6.0,,18.8149,28.3176,30.1258,30.0262,23.64,55.024,47.154,36.281,33.6122,39.6146,39.2198,67.5171,+4.322
_Kansas,B12,36,26,113.728,93.717,0.903017,52.693,47.841,18.8194,4.0,32.0,18.2180,30.1107,27.9164,32.5196,27.846,52.673,46.025,35.0133,33.6122,34.9274,41.8281,69.968,+8.38
_LSU,SEC,35,28,118.71,97.958,0.902018,51.2143,49.9133,17.9131,3.0,16.0,20.175,36.79,30.8272,37.163,33.1190,52.965,49.4140,31.9290,33.7128,34.2291,40.0231,69.674,+7.311
_Wisconsin,B10,34,23,109.082,89.85,0.902019,51.1152,45.211,14.68,5.0,,17.2255,24.5287,26.594,27.3309,25.819,49.7197,44.110,35.993,31.533,34.6278,35.055,63.4340,+6.215
_Louisville,ACC,34,20,113.729,94.322,0.89622,50.9165,46.723,17.5108,7.0,,16.1313,29.1142,25.969,34.9114,32.0153,50.6157,46.025,34.2175,32.047,43.754,37.2129,67.1201,+2.332
_UCF,Amer,33,24,113.63,94.424,0.893721,52.978,45.412,17.6115,9.0,32.0,18.0202,29.5126,29.6241,45.32,29.277,52.094,44.513,36.567,31.330,35.6254,38.4173,64.9307,+2.234
_Mississippi_St_,SEC,34,23,117.713,98.06,0.891623,54.627,50.3153,19.2225,5.0,,19.5103,34.719,29.6241,32.7189,32.1158,53.452,48.492,37.734,35.7253,39.1158,36.6105,67.4179,+4.621
_Florida,SEC,36,20,111.156,92.916,0.887624,49.8214,48.148,17.9131,10.0,32.0,22.417,30.697,32.2313,29.9264,33.6204,49.5204,48.598,33.4221,31.635,43.366,38.1160,62.7345,+0.647
_Wofford,SC,35,30,117.314,98.262,0.886025,57.54,49.9133,16.13,7.0,32.0,19.1128,31.863,25.246,27.8301,31.8147,53.943,50.6195,41.42,32.672,43.949,39.9227,65.5281,+4.223
_Cincinnati,Amer,35,28,113.235,95.028,0.882226,49.0254,48.675,16.027,7.0,,20.944,37.44,29.3224,37.653,30.5113,47.6267,45.119,34.5163,35.5240,33.3304,42.8300,63.5336,+5.918
_VCU,A10,33,25,105.6153,88.73,0.881227,50.1198,43.53,20.0275,8.0,,23.47,31.086,30.6267,35.794,36.6269,53.161,43.89,30.5332,28.52,41.2103,33.219,68.3130,+1.440
_Maryland,B10,34,23,112.441,94.525,0.880128,51.4135,45.916,19.4237,6.0,32.0,14.1352,34.124,24.832,32.8186,26.625,50.8146,44.714,34.9142,31.945,37.0217,39.4207,66.2242,+4.224
_Buffalo,MAC,36,32,114.524,96.438,0.879029,53.459,47.33,16.027,6.0,32.0,20.366,31.769,26.9109,32.7189,31.9150,55.716,49.3136,33.7207,29.38,44.145,35.986,73.511,+5.719
_Oklahoma,B12,34,20,111.354,94.323,0.870031,50.4182,47.534,17.069,9.0,32.0,17.3252,25.8253,27.8160,31.3228,23.13,49.7197,45.823,34.6158,33.3103,33.1309,41.3275,68.7111,+2.531
_Oregon,P12,38,25,109.08,92.815,0.864333,52.011,46.419,17.8122,12.0,16.0,20.944,29.6122,28.8205,29.4274,33.9210,51.6104,48.8113,35.1129,29.05,39.5149,45.4336,63.7331,-1.064
_Saint_Mary_s,WCC,34,22,114.126,97.451,0.860634,53.848,48.986,16.235,11.0,,16.3303,31.283,23.010,29.1277,29.175,52.379,49.2132,37.830,32.154,35.2267,31.69,62.4348,-0.660
_Nevada,MWC,34,29,113.531,97.046,0.859935,53.749,47.739,14.68,7.0,,19.2120,27.2213,24.938,40.817,28.051,54.928,46.332,34.7154,33.2100,42.875,39.9227,69.295,+4.125
_Syracuse,ACC,34,20,111.352,95.43,0.854836,49.6222,48.148,18.5169,8.0,,23.110,30.2103,33.4335,36.868,34.3222,49.3211,46.948,33.3225,32.983,43.268,48.1346,65.9264,+0.548
_Marquette,BE,34,24,112.637,97.047,0.846537,53.555,46.318,19.4237,5.0,,16.6291,29.4129,26.179,35.1106,35.9252,50.0186,45.119,38.812,32.464,41.798,35.670,68.9104,+2.829
_Villanova,BE,36,26,115.521,100.193,0.838339,53.267,50.4157,16.967,6.0,32.0,18.0202,30.3102,27.7156,34.4137,28.254,53.746,49.7149,35.2122,34.3170,53.53,39.7224,63.6335,+3.726
_Mississippi,SEC,33,20,114.027,99.077,0.83514,53.171,51.0178,18.2149,8.0,,20.656,30.2103,29.3224,30.9238,33.5200,52.771,48.283,35.898,37.4319,39.9142,34.542,68.1143,+1.043
_Baylor,B12,34,20,115.422,100.498,0.831641,51.2143,49.11,19.7257,9.0,32.0,18.6157,37.92,29.4228,32.3202,36.5266,51.2127,47.566,34.1181,34.5180,40.9114,38.2164,65.0300,+0.944
_Utah_St_,MWC,35,28,112.443,97.856,0.831342,53.946,46.52,18.2149,8.0,,17.3252,32.058,22.34,36.773,34.3222,54.239,42.24,35.7102,35.3224,38.0187,39.9227,68.0148,+2.233
_Iowa,B10,35,23,116.815,101.812,0.829044,52.79,51.5206,17.28,10.0,32.0,18.4173,29.8114,29.4228,42.311,28.872,51.4112,53.5297,36.473,32.464,39.0163,41.2272,69.489,+3.228
_Ohio_St_,B10,35,20,108.689,95.029,0.822745,50.3188,48.36,18.7186,11.0,32.0,18.2180,27.6201,25.969,33.7163,31.8147,49.7197,47.973,34.1181,32.774,40.1137,37.4139,65.6276,+0.946
_Minnesota,B10,36,22,111.157,97.553,0.817847,48.2285,49.5116,17.174,10.0,32.0,16.9270,31.480,28.4181,41.615,28.254,48.5240,48.7106,31.7294,34.0146,29.6341,33.933,67.3192,+2.730
_New_Mexico_St_,WAC,35,30,112.936,99.281,0.815349,54.142,48.986,17.9131,12.0,,19.2120,37.25,22.55,34.5134,32.6171,56.95,48.180,33.9195,33.4113,46.518,39.6218,65.6277,+1.638
_Belmont,OVC,33,27,115.918,102.0123,0.81275,57.63,48.778,15.216,11.0,,16.0315,25.3266,25.041,28.5289,27.437,59.23,47.256,37.048,34.4175,43.850,34.542,70.938,+1.439
_Washington,P12,36,27,106.5136,94.221,0.804051,52.1105,47.534,19.8262,9.0,32.0,24.24,29.1142,34.9348,34.7128,34.0214,51.996,46.025,35.0133,33.4113,39.9142,35.359,65.7273,+3.327
