Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Gonzaga,WCC,32,31,125.91,90.911,0.97681,61.01,47.758,16.136,1.0,2.0,19.3133,30.199,23.830,35.865,25.743,63.91,47.075,36.844,32.7109,33.2275,33.765,73.59,+8.52
_Baylor,B12,30,28,124.92,92.925,0.96772,56.56,48.9118,16.554,1.0,1.0,24.44,37.35,30.6272,26.5295,31.3167,53.248,48.7129,41.31,32.9117,38.4159,34.376,67.7194,+6.75
_Houston,Amer,32,28,119.16,91.312,0.95543,50.4148,43.92,16.242,2.0,4.0,21.155,39.82,27.9168,31.3174,41.2329,49.0198,43.47,34.8114,29.915,42.255,37.7184,64.3324,+4.015
_Illinois,B10,31,24,116.98,90.61,0.94914,55.612,46.529,18.1125,1.0,32.0,16.1311,32.245,22.110,37.930,30.1142,55.414,45.120,37.230,32.9117,30.0319,32.638,70.575,+8.81
_Michigan,B10,28,23,116.69,90.69,0.94775,54.724,44.45,16.656,1.0,8.0,14.8336,29.6113,24.752,30.4200,24.326,53.543,42.63,38.113,32.283,33.9257,31.928,66.6247,+7.13
_Iowa,B10,31,22,123.43,97.276,0.93986,54.724,48.8114,13.31,2.0,32.0,16.1311,30.977,29.1219,32.0158,22.26,52.666,46.655,38.610,34.8231,39.8106,39.5254,69.895,+5.58
_USC,P12,33,25,114.317,90.58,0.93617,52.76,44.97,18.012,6.0,8.0,16.9282,35.014,28.3186,36.357,24.123,52.274,42.12,36.064,33.3140,31.0309,35.196,66.8234,+5.57
_Colorado,P12,32,23,115.713,92.523,0.92918,52.469,47.966,17.178,5.0,32.0,19.8106,30.880,25.578,29.5227,29.1115,50.4135,46.868,37.328,33.3140,36.4200,35.196,66.1271,+4.99
_Alabama,SEC,33,26,111.932,89.73,0.92779,51.79,45.816,18.6156,2.0,16.0,20.576,32.245,29.2223,28.8241,30.7158,50.7125,46.868,35.299,29.19,46.517,34.376,73.311,+6.94
_Florida_St_,ACC,25,18,115.214,93.027,0.92111,54.036,46.124,20.425,4.0,16.0,19.5126,34.422,31.7299,32.4152,35.2263,52.763,44.511,37.621,32.598,34.9236,39.5254,69.699,+2.426
_Ohio_St_,B10,31,21,120.44,97.378,0.920411,52.958,48.7108,15.515,2.0,,14.7338,29.3118,27.0141,37.238,33.5216,52.274,47.282,36.064,34.0183,39.2130,38.4214,66.6244,+6.06
_Wisconsin,B10,31,18,112.528,91.313,0.916612,49.9174,47.966,13.63,9.0,32.0,17.3264,23.9277,25.267,26.2297,28.496,46.6284,46.655,36.552,33.5147,40.881,33.558,64.6318,+2.130
_Loyola_Chicago,MVC,31,26,109.751,89.22,0.915013,55.71,47.245,18.3137,8.0,16.0,21.549,27.1187,20.93,31.5171,22.710,57.25,46.346,35.488,32.598,37.1180,33.558,63.4335,+1.833
_Villanova,BE,25,18,118.57,96.869,0.910714,53.248,51.021,13.74,5.0,16.0,18.4190,27.7174,25.786,30.0210,25.640,53.445,50.7213,35.393,34.3203,44.830,40.5275,64.1326,+3.121
