Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Memphis,CUSA,37,33,112.634,84.21,0.96611,50.1122,41.41,18.346,2.0,16.0,22.470,38.029,30.473,39.971,35.5153,50.672,40.02,32.6234,30.011,31.3217,28.327,66.8124,+7.18
_North_Carolina,ACC,37,33,123.81,92.724,0.96542,52.845,46.661,16.69,1.0,1.0,20.7159,39.219,32.2143,39.876,25.47,51.062,44.745,38.524,33.6127,27.2298,32.8164,73.17,+7.75
_Connecticut,BE,36,31,116.316,87.13,0.96523,51.378,42.42,18.138,1.0,4.0,16.8331,39.811,30.679,46.46,19.51,51.452,40.96,34.1158,30.417,23.0336,30.386,67.495,+8.81
_Louisville,BE,37,31,112.832,86.52,0.95514,52.748,44.312,19.9123,1.0,8.0,23.339,35.285,32.4155,31.4293,30.239,51.158,43.326,36.958,30.925,37.862,30.591,67.1105,+8.13
_Pittsburgh,BE,35,30,121.42,93.227,0.95445,52.942,46.555,18.24,1.0,8.0,19.2253,42.51,30.167,33.0260,30.239,52.825,45.159,35.4103,32.992,29.3264,33.8203,65.1189,+8.62
_Missouri,B12,38,31,117.19,91.617,0.94436,52.748,46.349,16.36,3.0,8.0,25.111,34.3109,34.7248,36.6169,39.9252,52.727,46.7104,35.2114,30.316,31.4214,30.075,70.719,+6.19
_Kansas,B12,35,27,114.424,90.49,0.93747,53.234,44.08,20.8186,3.0,16.0,19.4237,36.751,29.239,39.585,35.1143,52.236,40.84,37.153,33.4116,29.6255,34.1215,67.0107,+5.412
_West_Virginia,BE,35,23,115.221,91.113,0.93668,48.5189,46.661,18.24,6.0,,23.437,41.04,31.5118,35.9190,38.4221,48.0164,47.1122,32.9224,30.213,34.0141,30.075,64.5223,+3.919
_UCLA,P10,35,26,120.03,95.046,0.93639,55.74,49.8196,19.07,6.0,32.0,23.921,36.358,31.3111,31.2296,35.6156,53.519,48.0152,39.912,36.1269,33.2159,29.455,65.6170,+4.517
_Michigan_St_,B10,38,31,114.025,90.28,0.93631,49.8136,47.281,20.9196,2.0,2.0,20.3181,40.76,27.18,41.148,36.5177,48.5145,47.0118,35.4103,31.842,26.6306,35.7265,66.7129,+7.47
_Gonzaga,WCC,33,27,116.911,92.519,0.936211,55.26,44.21,16.47,4.0,16.0,21.3126,30.8239,30.473,35.5196,29.527,53.321,39.41,39.414,35.2233,32.1190,35.5257,67.880,+4.518
_Duke,ACC,37,30,117.67,93.329,0.934812,50.5104,47.8105,17.622,2.0,16.0,23.532,37.433,33.2200,41.444,31.053,49.6102,46.7104,34.9124,33.8141,35.0112,25.97,67.1106,+7.94
