Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Villanova,BE,40,36,128.71,94.415,0.97251,59.51,48.555,15.013,1.0,1.0,18.2183,29.6140,27.196,29.4286,26.732,59.03,49.0139,40.110,31.714,47.59,35.7114,68.4163,+10.62
_Virginia,ACC,34,31,115.03,87.11,0.96052,52.794,44.33,14.03,1.0,,20.939,27.0229,25.648,24.5344,26.224,50.1167,42.83,38.336,31.09,35.0242,40.8283,59.3351,+11.31
_Duke,ACC,37,29,122.73,93.37,0.95873,55.918,46.412,17.5116,2.0,8.0,17.3243,38.81,30.0236,34.6134,22.31,56.015,45.417,37.264,32.022,36.3193,36.8147,69.791,+6.69
_Purdue,B10,37,30,123.62,96.134,0.94764,57.75,47.019,15.829,2.0,16.0,17.7220,28.0197,28.0141,35.6106,24.28,54.140,45.522,42.02,33.267,40.1101,34.475,67.5209,+7.66
_Cincinnati,Amer,36,31,112.156,87.92,0.94285,51.2157,43.32,17.073,2.0,32.0,21.619,38.52,28.2150,36.097,26.833,50.2163,41.42,35.3146,30.96,35.3230,37.8197,65.0322,+6.011
_Kansas,B12,39,31,122.54,96.742,0.93816,57.58,49.176,16.652,1.0,4.0,18.2183,29.4145,31.2283,27.0329,24.610,55.620,48.6117,40.110,33.376,41.283,39.1234,68.7146,+8.24
_Michigan,B10,41,33,114.734,90.73,0.93727,53.956,47.736,14.03,3.0,2.0,19.599,25.5274,24.934,30.7257,30.090,54.733,46.852,35.2154,33.267,43.159,30.26,64.7327,+6.98
_West_Virginia,B12,37,26,121.27,96.235,0.93458,50.4189,49.9118,16.544,5.0,16.0,23.32,37.04,30.1241,31.3236,44.1337,48.8207,45.417,35.3146,38.0314,38.4141,38.6220,70.079,+4.614
_Michigan_St_,B10,35,30,119.211,94.717,0.93409,56.912,42.71,19.2231,3.0,32.0,14.6340,37.04,26.677,35.998,30.7110,55.224,38.41,40.110,33.7102,36.3193,35.5101,66.8238,+8.05
_Xavier,BE,35,29,121.35,97.755,0.92381,55.918,49.9118,17.285,1.0,32.0,15.7315,30.2124,23.114,41.024,25.617,55.916,49.8165,37.264,33.485,35.8213,41.1289,70.561,+8.83
_North_Carolina,ACC,37,26,121.08,97.45,0.923611,52.0123,50.1131,16.758,2.0,32.0,16.3295,37.43,25.546,28.0314,26.022,51.0136,45.316,35.9109,38.0314,35.1238,40.9286,71.441,+7.17
_Tennessee,SEC,35,26,114.536,92.46,0.921812,50.8173,46.714,17.914,3.0,32.0,20.453,33.440,31.1279,35.5107,37.6264,47.3275,46.135,38.045,31.817,35.7217,36.5134,65.9282,+6.410
_Gonzaga,WCC,37,32,117.615,95.221,0.918813,57.011,47.123,16.135,4.0,16.0,17.4236,33.046,23.114,32.1214,29.165,58.25,44.110,36.884,35.0168,39.4116,35.7114,69.4108,+4.912
_Texas_Tech,B12,37,27,113.149,91.84,0.916514,52.0123,46.412,17.8131,3.0,8.0,21.717,32.948,28.7176,39.337,38.0271,51.1130,45.114,35.9109,32.331,33.5276,38.4214,66.3262,+4.713
_Ohio_St_,B10,34,25,116.322,94.616,0.914615,54.149,48.761,17.181,5.0,32.0,17.9206,30.2124,25.241,31.1243,29.574,54.733,46.135,35.3146,35.1177,34.2260,39.9259,67.0235,+4.515
_Florida,SEC,34,21,115.626,94.213,0.912717,50.8173,48.761,14.36,6.0,32.0,20.076,28.7175,30.5251,32.6199,32.4151,47.6263,46.646,37.077,35.2186,40.493,33.444,67.3221,+1.436
_Houston,Amer,35,27,115.229,94.314,0.908818,53.375,45.56,17.5116,6.0,32.0,19.1122,33.831,25.855,32.6199,41.6319,50.5153,43.87,38.732,32.331,37.2168,37.9198,68.2172,+2.526
_Butler,BE,35,21,116.42,95.727,0.905419,54.054,51.9226,15.726,10.0,32.0,19.599,27.6210,24.628,26.1335,35.3225,54.337,49.5159,35.7124,37.3291,37.4160,37.6186,67.9189,+1.733
_Kentucky,SEC,37,26,116.223,96.032,0.89952,51.8131,46.817,18.618,5.0,16.0,16.8269,35.78,31.0275,44.04,32.3149,51.2124,48.089,35.7124,30.14,25.8344,42.6310,68.8140,+4.316
_Clemson,ACC,35,25,112.952,93.48,0.897821,52.986,47.227,17.4103,5.0,16.0,17.4236,27.2221,26.368,33.5169,27.239,51.6106,43.98,36.691,35.2186,39.9104,37.4178,66.0277,+4.018
_Seton_Hall,BE,34,22,118.214,98.566,0.890022,52.986,50.3143,17.8131,8.0,32.0,17.7220,34.322,28.4162,35.2120,29.885,52.086,50.0176,36.596,33.8109,33.1284,37.7191,69.5102,+2.524
_Creighton,BE,33,21,116.619,97.757,0.883523,57.49,50.1131,15.622,8.0,,15.8313,22.5326,24.628,26.5333,24.812,58.74,50.0176,37.264,33.695,44.936,37.4178,71.046,+2.128
_TCU,B12,33,21,119.81,100.896,0.879124,56.515,52.3241,17.8131,6.0,,17.4236,34.224,26.162,34.1151,30.5106,55.126,50.1180,39.420,37.6303,35.2232,35.6109,68.8143,+2.227
_Wichita_St_,Amer,33,25,121.36,103.0143,0.866925,55.125,49.493,16.544,4.0,,16.3295,35.410,22.68,34.8130,33.2173,53.844,46.032,38.141,36.3246,39.2123,40.4274,68.8136,+3.420
_Auburn,SEC,34,26,114.339,97.349,0.865026,50.8173,49.7109,16.44,4.0,32.0,20.744,32.164,28.0141,39.836,38.1273,48.7215,47.777,35.7124,35.1177,43.258,39.6253,72.619,+4.317
_Texas_A_M,SEC,35,22,111.559,95.118,0.862827,51.415,46.918,19.2231,7.0,16.0,15.3327,33.930,27.3106,32.0217,27.643,52.565,45.726,32.9271,32.639,33.0288,37.6186,69.0119,+1.931
_Florida_St_,ACC,35,23,113.448,96.741,0.862628,53.278,48.45,17.8131,9.0,8.0,19.4106,32.360,29.8228,37.073,32.4151,53.646,45.417,35.0162,35.5206,36.8175,37.7191,71.343,+1.043
_Miami_FL,ACC,32,22,113.545,96.844,0.861829,53.181,49.071,16.864,6.0,,18.8143,29.1161,28.2150,29.1293,28.147,52.279,48.8127,36.499,32.842,36.0205,35.6109,67.0233,+2.722
_Kansas_St_,B12,37,25,109.881,94.011,0.85653,52.61,49.176,17.285,9.0,8.0,21.619,25.9260,31.9301,33.8158,36.8251,53.450,48.9131,34.1213,33.055,36.8175,39.9259,65.2314,+2.523
_Virginia_Tech,ACC,33,21,115.527,98.974,0.855831,57.75,50.4147,17.073,8.0,,18.6160,23.9306,29.4209,36.585,29.471,57.37,49.2148,38.831,34.7152,39.9104,42.8313,69.0120,+1.339
_Texas,B12,34,19,109.682,94.112,0.853132,50.0203,48.345,17.073,10.0,,18.0199,29.4145,29.1199,33.0188,26.224,51.2124,47.571,32.0313,33.267,38.1147,35.290,65.4312,+1.337
_Arizona,P12,35,27,117.217,100.794,0.850835,56.316,49.9118,17.5116,4.0,,16.7274,33.244,25.140,36.977,31.2121,56.710,47.777,36.981,35.8219,32.0302,35.6109,67.1229,+3.819
_San_Diego_St_,MWC,33,22,110.576,95.12,0.847536,51.7137,48.658,17.073,11.0,,19.0127,31.681,25.037,35.1124,29.678,52.086,47.881,34.1213,33.267,35.9209,39.9259,68.8138,-1.671
_Arkansas,SEC,35,23,117.018,100.897,0.847137,53.861,50.4147,15.115,7.0,,19.4106,28.8171,31.7297,37.469,40.8310,51.2124,48.298,39.518,35.7213,32.1299,41.6298,69.885,+2.821
_Loyola_Chicago,MVC,38,32,110.868,95.729,0.842941,57.75,47.431,19.1222,11.0,4.0,19.4106,22.1332,25.958,32.2210,25.215,56.611,47.158,39.816,32.022,35.4224,36.9151,65.2316,+2.029
_Nevada,MWC,37,29,119.113,103.0142,0.841543,54.829,49.493,13.51,7.0,16.0,18.0199,26.7240,29.3204,36.391,30.194,52.181,50.7206,39.225,31.714,40.493,38.6220,69.5101,+2.525
_Missouri,SEC,33,20,111.462,96.438,0.841244,54.149,46.714,20.8312,8.0,,16.0307,30.3120,27.9136,38.352,30.3101,50.3159,45.417,39.026,32.741,45.626,36.2127,65.6300,+0.4548
_Oklahoma,B12,32,18,114.932,99.884,0.834746,53.571,51.0179,17.397,10.0,,16.8269,28.4188,30.0236,33.2178,25.617,53.351,49.1141,35.9109,36.2240,40.592,37.2165,75.54,+1.141
_Syracuse,ACC,37,23,106.3134,92.45,0.833647,46.9323,46.21,19.1222,11.0,16.0,19.599,34.715,30.4247,40.528,31.4125,46.6299,45.114,31.7325,31.817,32.9291,44.5337,62.8346,-0.4256
_Davidson,A10,33,21,117.316,102.7132,0.821751,57.49,51.2191,14.57,12.0,,16.2302,22.6323,23.418,24.6343,29.678,56.513,50.3191,38.928,35.0168,48.46,41.7303,64.3334,-2.882
_N_C__State,ACC,33,21,116.025,101.7114,0.819352,53.474,51.6214,16.864,9.0,,20.453,33.440,32.0307,34.2148,33.7189,52.181,53.6297,37.264,31.613,34.4257,32.225,71.635,+0.944
_Arizona_St_,P12,32,20,116.124,102.513,0.808355,53.861,50.6158,14.79,11.0,,20.453,28.0197,30.6257,41.319,32.7163,53.256,50.2187,36.499,34.2126,41.381,39.9259,71.538,-1.266
_Alabama,SEC,36,20,108.2103,95.73,0.803257,51.9128,47.84,20.3288,9.0,32.0,18.7152,29.4145,30.9271,41.913,36.5244,53.549,46.954,32.6287,32.842,35.6220,37.9198,68.7150,-1.164
_Providence,BE,35,21,108.892,96.336,0.802059,49.6219,50.3143,17.4103,10.0,,19.0127,28.9166,29.0193,38.649,31.8136,49.5187,51.5237,33.2257,32.228,32.9291,36.3130,67.1231,+2.030
_South_Dakota_St_,Sum,35,28,114.243,101.3105,0.798561,54.341,50.0127,14.03,12.0,,14.2347,24.6296,23.317,35.4112,25.617,50.7146,49.8165,39.323,33.695,43.750,38.4214,70.367,+0.646
_Rhode_Island,A10,34,26,110.078,97.654,0.797262,51.1162,50.4147,15.317,7.0,32.0,22.66,31.097,28.2150,30.1273,40.6308,50.4157,50.6200,35.2154,33.267,32.0302,30.710,68.4161,+1.634
_UCLA,P12,33,21,114.242,101.611,0.794163,53.766,49.176,16.652,11.0,,14.5342,28.5182,26.989,35.5107,29.781,51.4114,47.362,38.141,34.6143,40.493,39.4241,70.369,-0.0352
_New_Mexico_St_,WAC,34,28,107.212,95.423,0.791264,51.6141,46.09,17.4103,12.0,,19.0127,33.831,22.57,29.1293,33.0169,52.086,45.726,34.0218,31.110,36.5185,36.7143,68.2175,+1.338
_Buffalo,MAC,36,27,114.933,103.1145,0.776666,54.829,48.864,16.544,13.0,32.0,18.1191,31.970,29.1199,29.9278,39.5297,54.337,48.4102,37.173,33.161,40.493,33.650,72.618,-1.368
_St__Bonaventure,A10,34,26,109.98,100.086,0.747277,51.6141,49.071,16.339,11.0,,20.453,29.3154,29.1199,40.528,38.4282,48.5223,49.7162,38.635,32.022,33.7272,43.3324,69.2113,+1.435
