Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Connecticut,BE,39,31,121.53,91.29,0.96431,53.933,44.45,18.9237,4.0,1.0,18.5138,38.52,26.168,30.8199,37.8312,53.650,44.49,36.359,29.712,41.766,30.413,66.7200,+5.013
_Alabama,SEC,37,31,116.115,89.03,0.95482,52.186,41.31,18.7224,1.0,16.0,15.8312,34.223,27.9149,36.647,32.6220,53.840,40.81,33.5193,28.33,47.29,30.010,72.64,+10.21
_Houston,Amer,37,33,117.313,90.35,0.95323,52.379,42.72,15.428,1.0,16.0,21.137,37.14,27.7140,28.9262,35.7285,53.160,43.45,34.0173,27.92,37.9160,43.5339,63.4341,+8.05
_UCLA,P12,37,31,114.923,88.52,0.95284,51.1146,46.827,14.915,2.0,16.0,23.311,33.043,28.2166,27.4305,27.572,50.6161,46.944,34.9123,31.132,29.0342,38.8234,66.1234,+8.44
_Tennessee,SEC,36,25,111.257,87.51,0.94015,49.921,42.83,18.1169,4.0,16.0,22.220,36.46,26.9105,30.7203,33.8245,50.3181,45.115,32.8234,26.51,40.1103,41.8317,65.1285,+2.825
_Texas,B12,38,29,116.116,91.81,0.93716,53.345,48.166,16.355,2.0,8.0,22.121,28.3190,29.0206,30.5211,33.7244,54.034,47.968,34.7137,32.483,34.5267,34.896,68.5115,+7.58
_Purdue,B10,35,29,117.91,93.721,0.93337,51.8101,47.24,17.299,1.0,,15.4329,38.43,23.513,37.237,19.21,54.133,47.253,32.2273,31.343,38.4145,35.5123,63.9330,+9.43
_Arizona,P12,35,28,119.46,95.434,0.92928,56.53,47.135,18.4208,2.0,,16.9246,30.7107,26.168,35.859,25.534,56.48,46.229,37.816,32.378,37.7169,38.7230,72.210,+7.67
_Gonzaga,WCC,37,31,123.21,99.078,0.92519,57.62,51.4228,14.813,3.0,8.0,17.8183,31.294,25.660,34.194,26.043,58.24,50.6195,37.523,35.2255,32.6305,39.0242,70.140,+6.69
_Saint_Mary_s,WCC,35,27,112.144,90.56,0.92131,52.089,47.135,16.462,5.0,32.0,19.2106,32.655,21.92,32.0157,29.9143,50.8150,45.722,36.168,33.3129,36.8199,32.031,61.9359,+3.423
_San_Diego_St_,MWC,39,32,110.861,89.54,0.920511,49.3236,46.52,17.3104,5.0,2.0,19.1112,31.680,26.168,33.2112,30.2153,48.4256,49.3139,34.0173,28.33,33.9281,40.0278,65.7264,+5.710
_Marquette,BE,36,29,118.78,96.041,0.919712,56.07,51.0202,15.326,2.0,32.0,22.518,26.2249,31.7310,27.0317,29.1122,58.24,50.3182,35.3100,34.7230,42.061,37.5189,68.4122,+7.86
_Creighton,BE,37,24,115.021,93.215,0.917713,54.226,47.135,16.668,6.0,8.0,13.9359,25.3275,23.513,28.4272,19.72,55.117,45.722,35.498,33.6145,41.766,29.58,67.7153,+2.229
_Kansas,B12,36,28,113.831,92.313,0.917714,52.667,47.031,17.5124,1.0,32.0,20.266,28.7176,28.7191,29.8227,31.1181,53.065,47.253,34.7137,31.028,33.8284,35.3118,69.083,+10.12
_Duke,ACC,36,27,113.333,92.914,0.907215,51.1146,46.015,18.3192,5.0,32.0,16.5278,35.98,26.168,29.9224,23.713,51.5110,46.229,33.5193,30.520,35.3250,35.6128,64.9298,+4.516
_Memphis,Amer,35,26,115.42,95.03,0.903016,53.052,46.724,18.3192,8.0,,20.850,31.294,32.7330,35.465,34.4261,53.160,47.149,35.3100,30.825,29.1341,42.9333,71.024,+4.715
_Baylor,B12,34,23,121.72,100.6102,0.899217,53.248,51.6239,17.9154,3.0,32.0,19.975,34.421,30.9293,36.846,31.3187,51.6108,53.3315,36.834,32.588,44.922,37.9203,66.9187,+5.212
_West_Virginia,B12,34,19,117.214,97.555,0.893518,51.5117,50.9197,18.5213,9.0,,20.947,34.025,29.3221,39.421,38.7322,50.9145,50.8207,35.0117,34.0176,36.3217,35.1108,68.4121,+1.535
_Arkansas,SEC,36,22,111.945,93.316,0.889419,50.9158,47.24,18.1169,8.0,16.0,20.556,30.8100,27.9149,39.323,39.5333,52.575,47.458,31.3317,31.132,27.7348,30.516,69.558,+0.3846
_Xavier,BE,37,27,118.09,98.574,0.88912,55.213,50.3161,17.299,3.0,16.0,16.2296,30.8100,25.041,31.4177,27.062,53.840,48.695,39.04,35.8280,31.2320,33.552,70.533,+5.411
_Auburn,SEC,34,21,113.134,94.928,0.882921,49.5223,45.713,17.7141,9.0,32.0,18.9119,32.849,32.4323,36.351,38.9327,50.7157,47.047,31.5307,28.86,35.2253,34.581,67.6157,+1.140
_Florida_Atlantic,CUSA,39,35,114.027,95.84,0.881522,54.324,46.116,16.983,9.0,4.0,17.7193,31.490,25.454,29.6234,26.347,53.840,44.712,36.642,32.483,43.935,34.790,67.5164,+4.714
_Texas_A_M,SEC,35,25,113.83,95.738,0.880823,48.8263,48.271,18.3192,7.0,,20.947,36.75,30.4269,45.13,34.7268,48.8240,47.253,32.6253,33.0109,34.5267,45.7351,66.0245,+3.719
_Kansas_St_,B12,36,26,112.639,94.727,0.880324,52.379,48.166,19.3258,3.0,8.0,21.041,29.9135,30.3264,36.154,36.3291,52.867,49.2129,34.3158,30.825,36.1224,36.9168,69.845,+4.217
_Michigan_St_,B10,34,21,114.424,96.445,0.877125,51.7104,48.684,16.462,7.0,16.0,14.8344,27.6210,25.247,27.2312,28.092,48.2267,48.7101,39.33,32.483,33.0297,38.5222,64.6307,+2.426
_Kentucky,SEC,34,22,115.718,97.76,0.873826,50.6178,48.684,17.4119,6.0,32.0,16.6268,39.21,25.041,31.9160,29.9143,50.0193,48.695,34.7137,32.483,30.0330,35.5123,65.8258,+1.632
_Miami_FL,ACC,37,29,119.17,100.9109,0.871527,54.324,51.2213,16.147,5.0,4.0,18.1169,31.872,28.8195,30.7203,24.017,53.840,51.8254,36.834,33.5142,34.2275,38.5222,68.6104,+3.720
_TCU,B12,35,22,111.749,94.626,0.870528,50.0207,48.166,16.771,6.0,32.0,21.627,32.260,30.5274,34.194,30.1149,51.5110,49.2129,31.0329,30.825,29.9331,35.0103,69.750,+2.228
_Iowa_St_,B12,33,19,107.0122,90.97,0.867929,49.921,49.9141,19.6274,6.0,,25.02,33.927,26.583,27.9292,40.8340,50.0193,49.2129,33.1215,33.7150,33.8284,46.7355,64.0326,+2.427
