Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Kentucky,SEC,40,38,123.52,90.49,0.97301,53.813,42.01,17.121,1.0,1.0,17.6296,37.820,31.2129,41.747,25.88,52.721,39.61,37.835,31.859,26.5311,29.051,65.3161,+11.31
_Ohio_St_,B10,39,31,117.96,88.12,0.96602,52.156,46.452,17.634,2.0,4.0,22.264,35.748,25.22,38.1122,29.029,52.918,45.266,33.4208,32.582,26.9305,35.0248,67.176,+7.78
_Michigan_St_,B10,37,29,114.32,88.33,0.95103,52.74,43.34,19.9156,1.0,16.0,19.3213,36.724,27.019,37.7132,34.4134,52.125,42.413,36.089,29.915,27.6290,36.1282,64.7192,+8.64
_Kansas,B12,39,32,114.122,88.64,0.94844,52.35,43.46,19.2115,2.0,2.0,20.2162,34.966,29.155,39.876,33.196,52.522,39.82,34.5148,34.0151,29.6246,31.9128,66.4108,+8.26
_North_Carolina,ACC,38,32,116.512,90.511,0.94755,49.8138,45.025,16.49,1.0,8.0,18.3268,39.99,27.526,37.3149,21.81,49.6103,43.527,33.5202,31.962,23.4337,35.5260,71.59,+8.35
_Syracuse,BE,37,34,117.78,93.02,0.93726,52.156,44.215,16.17,1.0,8.0,24.411,36.332,39.6342,32.9259,31.052,51.932,42.514,34.9138,31.547,31.0212,36.2288,64.6194,+10.82
_Wisconsin,B10,36,26,114.221,90.41,0.93577,50.1126,42.52,15.02,4.0,16.0,18.2276,30.6224,27.831,30.7303,29.837,46.5217,42.07,36.864,29.411,41.320,24.12,57.5345,+4.814
_Missouri,B12,35,30,126.21,100.2129,0.93398,58.01,50.1222,15.43,2.0,,21.597,30.4230,32.2170,37.5142,27.313,57.01,47.9172,39.89,36.8280,37.965,30.998,65.5148,+8.73
_Wichita_St_,MVC,32,26,116.81,93.624,0.92749,53.813,44.822,17.945,5.0,,18.6250,33.4139,26.412,34.6213,32.888,53.016,43.833,36.961,31.238,32.9165,32.6159,65.6135,+4.417
_Florida,SEC,37,26,121.83,97.98,0.92511,54.88,47.8116,16.92,7.0,8.0,19.1220,33.5133,30.285,33.2256,29.939,53.016,46.295,38.030,34.2164,44.65,32.0133,64.4204,+3.022
_Indiana,B10,36,27,121.24,98.288,0.918211,55.26,48.1137,19.2115,4.0,16.0,20.0172,35.358,31.3131,44.515,34.3128,51.542,46.295,43.12,34.9196,27.5294,31.6121,66.699,+5.712
_Vanderbilt,SEC,36,25,116.314,94.43,0.916712,54.11,46.976,20.0159,5.0,32.0,19.0228,32.2171,31.7154,40.173,28.625,51.246,47.2144,38.819,30.929,41.223,32.5154,64.9182,+4.020
_Memphis,CUSA,35,26,113.725,92.417,0.915813,54.012,43.46,18.781,8.0,,20.7144,31.3207,32.8202,41.349,38.3221,53.99,42.07,36.284,31.238,26.9305,31.0102,67.370,+3.023
_Georgetown,BE,32,23,111.737,90.712,0.915714,51.473,43.13,19.6136,3.0,32.0,19.8182,35.554,30.6106,38.8102,36.3176,51.344,43.936,34.4153,27.71,30.5225,32.9170,62.0297,+4.616
_Saint_Louis,A10,33,25,111.836,90.913,0.915115,51.864,45.126,17.945,9.0,32.0,23.035,31.5196,29.155,35.5190,37.2195,50.090,44.445,36.671,31.650,36.591,25.69,61.2319,+2.829
_Louisville,BE,40,30,105.7118,86.41,0.910216,47.3242,43.34,20.7201,4.0,4.0,22.939,35.748,33.9241,36.2177,34.3128,47.2193,42.210,31.8271,30.317,32.1186,32.2143,65.9126,+5.513
_Baylor,B12,37,29,116.413,95.644,0.906317,52.35,47.6105,20.4181,3.0,8.0,21.0126,38.018,32.3179,35.7186,33.4105,50.277,46.295,38.030,33.7138,31.6193,33.1179,65.6140,+7.09
_Duke,ACC,34,27,117.29,96.961,0.899318,52.838,47.185,17.739,2.0,,18.5257,34.774,31.9159,45.113,32.990,51.052,47.0132,37.157,31.754,38.654,24.12,67.175,+8.07
_New_Mexico,MWC,34,27,110.847,91.614,0.898519,52.838,44.416,20.0159,5.0,32.0,21.3112,34.392,27.729,38.8102,31.564,50.564,43.119,37.835,31.135,37.178,36.0278,65.5149,+2.926
_Marquette,BE,35,27,111.242,92.115,0.89792,50.1126,45.43,18.675,3.0,16.0,23.329,33.9111,35.3291,40.958,30.648,50.090,44.445,33.7192,31.650,29.3255,32.6159,70.018,+6.111
_Florida_St_,ACC,35,25,108.272,90.28,0.890921,51.279,43.78,23.6324,3.0,32.0,22.264,35.456,33.1216,34.8209,34.3128,50.468,42.210,35.4114,30.929,31.8192,36.4293,66.5103,+4.318
_Cincinnati,BE,37,26,110.748,92.919,0.883022,48.02,46.246,16.818,6.0,16.0,21.597,35.748,34.4262,29.3322,26.39,46.4218,45.163,34.1169,32.374,34.8120,31.1105,63.2265,+3.024
_Gonzaga,WCC,33,26,113.427,95.241,0.882123,53.518,46.662,19.7147,7.0,32.0,19.4202,34.679,28.037,46.17,27.514,51.836,46.6113,37.933,31.135,32.6175,34.1216,64.8187,+2.133
_Michigan,B10,33,23,114.717,96.963,0.874724,53.423,49.0172,17.634,4.0,,19.9177,28.3278,30.6106,28.6331,30.241,54.08,47.2144,35.1126,35.1207,44.28,33.2182,60.5326,+6.210
_Purdue,B10,35,22,117.87,99.5108,0.874525,51.181,49.921,13.51,10.0,32.0,19.5198,31.8184,31.5143,34.1230,33.8118,47.8170,49.1213,37.740,34.4171,37.375,33.6198,64.3215,+1.838
_Iowa_St_,B12,34,23,113.924,96.758,0.867526,52.642,48.6159,18.358,8.0,32.0,17.2313,32.3169,26.513,38.7105,26.510,50.375,49.8242,37.352,30.623,41.618,31.9128,66.1121,+1.936
_Alabama,SEC,33,21,105.512,89.76,0.866227,49.1167,43.78,20.2167,9.0,,21.2115,33.5133,31.6150,36.2177,38.2219,51.344,43.936,28.9328,28.95,27.3297,33.2182,61.8307,+1.639
_Kansas_St_,B12,33,22,109.461,93.222,0.863428,48.9175,46.041,21.224,8.0,32.0,23.525,40.74,33.7236,43.225,41.8278,48.3144,44.756,33.5202,32.582,29.5249,31.3116,66.3109,+2.134
_Virginia,ACC,32,22,104.5134,89.15,0.862429,50.799,44.72,18.781,10.0,,21.0126,27.1300,25.55,35.4193,31.255,51.149,45.369,33.0232,28.95,29.8241,32.4153,59.5337,+2.035
_UNLV,MWC,33,24,109.264,93.323,0.85893,52.74,46.349,19.2115,6.0,,21.3112,32.2171,30.285,35.3195,34.0121,51.246,44.344,36.767,33.6134,38.949,32.8166,69.029,+2.828
