Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Gonzaga,WCC,32,28,120.34,89.99,0.96621,58.72,43.11,15.735,1.0,16.0,16.3296,29.1146,23.423,30.6160,22.719,60.42,41.81,37.027,30.535,35.3241,33.347,72.65,+6.710
_Houston,Amer,38,32,116.51,88.56,0.95952,53.144,43.32,16.97,5.0,8.0,21.730,37.72,28.0172,29.0215,34.7284,54.527,43.46,33.8171,28.87,38.9143,42.7320,63.7336,+6.213
_Kansas,B12,40,34,119.85,91.313,0.95803,53.83,45.822,17.3101,1.0,1.0,18.1185,32.939,28.6201,32.3112,27.7103,53.639,46.444,36.151,29.820,33.1286,34.884,69.172,+10.41
_Texas_Tech,B12,37,27,110.541,85.41,0.95094,52.661,45.822,19.8272,3.0,16.0,23.212,33.234,25.875,35.153,31.9226,54.922,44.512,32.1253,31.562,34.1262,45.5344,66.3223,+6.611
_Baylor,B12,34,27,117.88,91.314,0.94915,52.855,47.878,17.9132,1.0,32.0,22.915,36.37,28.8208,29.0215,27.7103,53.639,49.2158,34.3128,30.229,38.4159,36.2125,67.6149,+8.92
_Duke,ACC,39,32,122.71,96.053,0.94406,55.69,47.149,15.018,2.0,4.0,15.7314,31.762,28.9214,28.6232,19.12,56.09,46.647,36.637,32.078,35.7229,33.653,67.4161,+7.27
_Tennessee,SEC,35,27,111.334,87.13,0.94357,50.7136,46.433,17.7121,3.0,32.0,22.915,32.448,27.2128,29.0215,31.5213,48.5225,46.034,35.955,31.360,40.3110,39.2233,67.3164,+7.94
_Villanova,BE,38,30,117.29,93.026,0.93458,51.5102,47.356,15.528,2.0,4.0,18.4164,31.275,28.9214,29.8187,25.046,49.5186,48.1112,35.955,30.840,46.317,42.2307,62.2350,+7.36
_Arizona,P12,37,33,118.07,93.735,0.93419,55.69,44.48,18.3168,1.0,16.0,17.4230,34.715,28.6201,34.954,24.035,57.05,41.81,35.376,32.8125,35.9222,34.780,72.39,+8.83
_UCLA,P12,35,27,115.812,92.22,0.93201,50.6141,47.668,13.24,4.0,16.0,19.4107,31.374,25.365,29.5203,28.3121,49.5186,47.373,35.472,32.186,31.2319,38.1196,65.4274,+5.015
_Kentucky,SEC,34,26,119.46,95.444,0.929411,53.144,46.94,16.76,2.0,,17.5226,37.72,24.954,28.0248,25.452,53.544,47.373,34.799,30.840,28.0349,35.9114,67.8133,+6.99
