Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Connecticut,BE,40,37,128.01,91.34,0.97991,56.97,44.43,14.534,1.0,1.0,16.0247,36.712,26.778,31.9202,31.1134,59.14,43.24,35.869,31.233,40.2102,32.943,64.6327,+11.21
_Houston,B12,37,32,119.615,86.51,0.97662,50.3195,44.02,13.89,1.0,16.0,24.43,36.810,31.2282,30.8236,39.4316,49.2226,43.13,34.8132,30.111,36.8191,40.1282,63.4349,+10.03
_Purdue,B10,39,34,126.03,94.515,0.96493,55.813,47.538,16.4134,1.0,2.0,13.7341,37.76,24.315,41.313,22.04,53.364,47.761,40.42,31.544,34.7251,36.9171,67.1211,+10.62
_Auburn,SEC,35,27,121.01,93.17,0.95344,54.235,43.71,15.156,4.0,,18.1102,32.959,30.2225,38.342,41.5335,55.122,42.91,35.2105,30.212,37.5176,33.451,70.056,+5.29
_Iowa_St_,B12,37,29,113.653,87.72,0.95175,52.097,47.436,15.468,2.0,16.0,25.32,31.1103,29.4198,35.4102,34.8241,51.2138,47.451,35.869,31.544,31.7305,45.2354,67.4193,+6.36
_Arizona,P12,36,27,120.512,93.38,0.95016,54.53,48.467,16.0104,2.0,16.0,18.0110,35.618,23.36,36.483,25.926,54.437,47.761,36.633,32.9113,33.4281,37.9208,72.315,+4.910
_Tennessee,SEC,36,27,115.931,90.43,0.94557,51.1147,45.35,14.534,2.0,8.0,18.579,32.275,28.2138,33.7147,35.7260,50.8151,44.38,34.4152,31.233,41.279,41.1301,69.284,+5.67
_Duke,ACC,36,27,121.39,95.52,0.93998,54.628,48.678,14.431,4.0,8.0,16.9174,32.077,25.953,34.3132,28.166,53.555,49.0108,37.713,31.853,37.5176,34.781,66.5247,+3.515
_North_Carolina,ACC,37,29,119.218,94.314,0.93699,51.5126,46.718,14.119,1.0,16.0,14.8310,33.058,23.710,36.288,28.269,50.2178,46.023,35.961,32.061,36.1211,35.8119,70.547,+7.04
_Creighton,BE,35,25,121.78,97.132,0.93091,57.33,46.311,15.468,3.0,16.0,11.0362,26.1273,24.927,24.7352,16.01,59.23,45.515,36.825,32.378,48.58,27.96,66.7233,+4.413
_Marquette,BE,37,27,118.62,94.916,0.928911,55.02,49.8133,14.327,2.0,16.0,21.119,25.7285,30.8266,25.5344,26.938,56.612,49.3124,35.2105,33.7162,41.184,42.8335,69.190,+6.65
_Gonzaga,WCC,35,27,123.65,99.157,0.926912,57.06,47.332,14.015,5.0,16.0,16.1241,33.251,27.7111,30.7240,25.219,58.37,45.113,36.243,34.1195,31.3312,36.6148,68.8103,+2.423
_Illinois,B10,38,29,125.74,101.191,0.924713,53.648,48.046,15.051,3.0,8.0,12.3360,35.618,26.364,37.168,26.733,54.437,46.836,34.9125,34.1195,38.6142,28.37,69.768,+5.68
_Alabama,SEC,37,25,126.12,102.5121,0.915414,56.31,49.7127,15.995,4.0,4.0,15.2294,34.925,30.9271,35.3106,38.8307,56.710,50.9199,37.319,31.751,46.519,37.2183,72.314,+3.316
_Saint_Mary_s,WCC,34,26,115.335,94.111,0.912415,52.867,45.14,16.0104,5.0,,16.7189,38.73,22.31,28.0304,33.4201,52.781,43.85,35.398,32.378,36.8191,29.28,62.5357,+1.435
_Baylor,B12,35,24,122.67,101.088,0.902817,55.714,51.4234,17.7216,3.0,32.0,17.0164,35.024,26.989,40.222,31.2136,53.555,52.1257,39.54,33.4142,38.9133,35.4103,65.8276,+4.512
_Michigan_St_,B10,35,20,113.355,93.59,0.901518,51.6121,48.046,15.051,9.0,32.0,18.579,29.8139,28.5148,29.3272,32.4176,50.5164,47.451,36.243,32.696,30.5323,41.6311,65.4306,-0.1956
_Texas,B12,34,21,116.629,96.525,0.898019,53.064,48.154,16.9174,7.0,32.0,18.864,29.9134,30.1222,30.2254,34.0221,53.170,47.044,35.492,33.5147,34.9246,32.943,67.4191,+0.746
_Clemson,ACC,36,24,117.723,97.434,0.89782,53.944,48.256,14.843,6.0,8.0,13.9337,27.2240,26.672,30.7240,32.1165,54.633,47.147,35.1112,33.1126,39.9108,41.1301,66.3258,+1.041
_Kansas,B12,34,23,113.751,94.213,0.897121,53.55,48.36,16.5143,4.0,32.0,16.5206,25.7285,26.570,32.5184,28.576,54.730,45.820,33.6194,34.6233,29.8334,41.0296,69.093,+3.814
_Florida,SEC,36,24,120.511,100.276,0.893622,51.8109,49.3106,15.784,7.0,,14.5316,37.38,28.8168,38.440,34.8241,51.8112,49.5136,34.5144,32.696,34.5258,32.436,71.819,+2.821
_Colorado,P12,37,26,118.321,98.645,0.890223,55.415,49.7127,18.1249,10.0,32.0,15.2294,32.077,24.722,35.1111,27.347,54.040,50.6180,39.16,32.166,30.6322,35.296,67.7170,+1.730
