Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Kansas,B12,40,37,122.12,86.42,0.98151,56.65,44.39,19.148,1.0,1.0,22.499,37.624,29.133,36.4176,31.060,55.46,41.24,39.712,32.854,29.3286,38.3284,67.0117,+9.93
_Memphis,CUSA,40,38,117.76,86.93,0.97032,52.753,43.45,16.67,1.0,2.0,22.594,37.821,29.649,40.464,31.773,52.929,42.610,34.9169,30.27,35.2146,28.726,68.572,+9.05
_UCLA,P10,39,35,116.98,87.75,0.96473,52.273,46.535,19.148,1.0,4.0,21.8137,39.212,27.25,37.3144,25.610,52.437,45.464,34.4193,32.957,28.0304,27.514,64.4213,+10.72
_North_Carolina,ACC,39,36,123.61,92.826,0.96434,53.047,48.29,18.842,1.0,4.0,21.1172,42.51,29.030,38.0126,25.711,52.144,47.8137,37.280,32.645,22.6339,34.2164,73.08,+11.91
_Wisconsin,B10,36,31,113.336,86.31,0.95805,50.6138,43.45,19.568,3.0,16.0,21.9131,36.253,28.625,39.980,25.48,49.3128,41.75,35.6144,31.322,31.8229,33.0123,61.4306,+8.28
_Louisville,BE,36,27,112.839,87.44,0.94946,53.145,44.17,20.2105,3.0,8.0,21.7141,33.4144,30.991,36.5172,33.5106,53.519,43.116,35.0168,30.510,38.768,34.6180,65.5171,+4.716
_Duke,ACC,34,28,116.61,90.81,0.94667,53.638,47.667,18.326,2.0,32.0,24.721,33.9121,33.7212,40.953,31.976,51.751,47.0106,37.757,32.957,39.264,25.01,71.813,+8.96
_Texas,B12,38,31,121.33,94.741,0.94508,51.5106,45.721,14.21,2.0,8.0,17.9317,36.349,33.6208,32.0276,31.060,48.5162,43.218,38.048,33.268,34.9153,38.1281,63.0265,+8.47
_Georgetown,BE,34,28,113.732,88.86,0.94509,56.74,41.91,21.318,2.0,32.0,19.8245,33.1153,32.7156,34.0237,36.0161,56.23,40.52,38.437,29.64,40.250,35.5210,61.3311,+7.79
_Washington_St_,P10,35,26,114.127,90.78,0.93321,53.734,46.741,17.011,4.0,16.0,21.9131,27.8303,29.854,38.5115,28.432,53.027,45.360,36.891,33.164,33.9171,32.4103,58.3334,+4.914
_Stanford,P10,36,28,113.533,90.79,0.929111,49.817,44.39,18.842,3.0,16.0,17.7321,39.113,29.237,39.687,32.892,48.0182,42.16,36.6102,33.372,27.1315,28.320,63.5256,+6.710
_Marquette,BE,35,25,114.823,92.018,0.927612,50.6138,46.329,18.739,6.0,32.0,23.943,38.217,33.4192,37.5139,41.0262,49.0139,46.796,35.8135,30.48,33.6181,31.159,66.9121,+3.822
_Clemson,ACC,34,24,113.93,91.312,0.926913,51.987,48.185,20.3117,5.0,,24.624,39.87,36.4301,30.6302,33.8116,49.7114,49.0192,37.563,30.48,33.3189,28.624,67.991,+4.419
_Davidson,SC,36,29,115.416,92.625,0.926814,54.123,49.314,17.314,10.0,8.0,24.333,32.4185,28.523,26.3332,37.3186,54.110,47.0106,36.1116,35.5186,40.642,37.8274,66.8129,+1.634
_Tennessee,SEC,36,31,115.318,92.524,0.926615,52.465,49.1126,18.224,2.0,16.0,24.721,36.253,34.6251,38.0126,39.6233,51.556,50.3245,35.8135,31.220,38.966,35.9225,71.118,+9.24
_Xavier,A10,37,30,116.311,94.235,0.918016,54.614,47.15,19.883,3.0,8.0,19.6258,35.868,30.160,42.429,31.468,52.243,45.254,39.124,33.685,36.5108,36.5242,64.1224,+4.718
_Michigan_St_,B10,36,27,115.319,93.629,0.917217,52.658,46.026,21.1168,5.0,16.0,18.9286,39.59,31.6117,33.5248,33.198,51.652,45.667,37.183,31.119,24.4335,37.2253,63.6249,+5.113
