Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Colorado_St_,MWC,33,24,117.86,99.9134,0.869031,49.213,48.6165,17.229,8.0,32.0,16.5321,41.42,23.21,44.119,36.4181,48.4131,47.1156,34.1154,34.1183,27.3299,37.0305,63.5231,+2.033
_San_Diego_St_,MWC,32,21,107.189,90.915,0.868232,48.5168,44.731,18.165,7.0,32.0,18.2268,31.8159,27.939,35.3194,28.930,48.3137,43.335,32.7223,31.868,32.4185,32.4146,65.5134,+0.4946
_Notre_Dame,BE,35,25,114.118,96.975,0.867233,52.244,46.894,17.642,7.0,,16.0329,34.094,29.572,32.0271,24.64,50.651,45.9109,37.048,32.599,32.0200,29.253,60.3321,+3.821
_Illinois,B10,34,21,110.84,94.242,0.865834,47.5223,48.7171,17.642,7.0,32.0,21.773,33.6103,33.0223,31.0294,36.0173,47.4177,47.4167,31.7263,34.1183,41.524,35.7267,64.7177,+2.430
_Oregon,P12,37,28,105.9111,90.112,0.865735,49.3125,46.478,21.4254,12.0,16.0,22.058,35.848,27.227,38.4100,33.3107,49.198,44.976,33.3197,33.4149,27.3299,29.870,67.848,+2.926
_Memphis,CUSA,36,31,107.583,91.518,0.865036,52.441,45.55,20.7214,6.0,32.0,22.156,35.652,31.1135,37.2134,34.9143,51.141,43.845,37.236,33.0118,28.6285,30.481,67.944,+4.715
_Cincinnati,BE,34,22,105.5116,89.91,0.864137,46.2272,43.39,19.4137,10.0,,20.3152,38.710,29.884,35.5185,32.787,45.5258,42.311,31.6267,30.429,37.162,30.481,64.2195,+1.735
_New_Mexico,MWC,35,29,108.273,92.628,0.857739,48.4173,45.966,17.642,3.0,,19.5196,29.3245,27.633,45.79,25.78,46.1229,42.08,35.1104,34.6216,34.7128,39.1328,64.1200,+7.07
_N_C__State,ACC,35,24,116.41,99.6126,0.85764,54.215,46.894,18.063,8.0,,16.6319,34.772,32.6198,40.945,29.033,52.816,47.5169,39.111,30.223,23.7336,32.3142,66.779,+0.0052
_Butler,A10,35,26,110.445,94.647,0.855541,50.78,46.786,20.2185,6.0,32.0,17.4298,35.944,26.311,38.4100,36.1175,50.261,45.383,34.3142,33.2129,35.891,30.481,63.3236,+4.814
_La_Salle,A10,34,24,113.225,97.791,0.844842,51.949,49.3199,17.127,13.0,16.0,21.393,29.0258,34.2269,31.3285,28.527,49.391,50.6277,37.728,30.223,36.085,24.66,64.7181,+0.4747
