Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Louisville,Amer,37,31,119.41,88.22,0.97001,53.53,43.95,15.323,4.0,16.0,25.02,37.123,32.7243,41.2144,38.4130,52.725,44.336,36.870,28.62,35.1111,30.072,66.869,+5.415
_Arizona,P12,38,33,116.719,88.11,0.96232,51.773,42.31,15.73,1.0,8.0,19.1115,36.428,27.316,41.0153,34.254,50.776,40.22,36.477,32.057,26.4324,26.514,62.3283,+9.52
_Florida,SEC,39,36,116.42,89.13,0.95603,52.259,45.427,17.511,1.0,4.0,21.324,35.344,28.033,42.4103,31.221,51.358,43.519,35.996,33.093,34.6123,31.3117,61.1325,+11.81
_Virginia,ACC,37,30,115.226,90.25,0.94294,50.8116,44.27,16.559,1.0,16.0,18.4162,33.986,25.86,42.0117,32.535,49.0151,42.17,36.967,32.365,29.7250,33.5195,59.2345,+8.24
_Wisconsin,B10,38,30,123.24,96.738,0.94225,53.332,47.276,12.72,2.0,4.0,15.3325,28.1275,27.417,42.7100,27.13,51.358,45.974,37.655,34.1149,39.144,25.36,62.0296,+8.06
_Duke,ACC,35,26,126.41,99.471,0.94106,53.826,49.315,14.61,3.0,,18.5155,35.247,31.3169,38.8217,40.8179,50.395,50.3236,39.511,30.720,39.738,24.14,64.7163,+6.512
_Tennessee,SEC,36,23,118.713,94.017,0.93587,49.8159,46.554,16.87,11.0,16.0,16.9257,39.75,27.519,41.8124,31.525,50.682,44.543,31.9280,34.5173,30.6233,27.728,61.1323,+0.4155
_Michigan_St_,B10,38,29,120.16,96.032,0.92978,54.514,45.835,17.4105,4.0,8.0,17.7216,32.9115,27.519,33.7321,40.3169,52.141,43.519,39.215,33.2103,36.386,36.9305,64.3191,+7.010
_Wichita_St_,MVC,35,34,117.018,93.613,0.92889,52.447,44.718,16.249,1.0,32.0,18.2176,35.051,26.28,46.941,35.776,52.332,43.624,35.0136,31.130,36.780,35.8274,63.1248,+8.25
_Michigan,B10,37,28,125.53,100.689,0.92701,55.78,49.4153,14.815,2.0,8.0,17.1243,29.4241,30.5127,34.9302,26.72,52.725,50.2234,40.24,31.849,40.132,31.1108,60.6333,+7.78
_Kansas,B12,35,25,119.78,96.335,0.924111,54.217,47.173,19.1238,2.0,32.0,16.4286,37.319,28.858,48.332,45.5279,55.56,44.336,34.0181,35.5239,28.7269,31.5121,66.292,+6.911
_Villanova,BE,34,29,115.723,93.111,0.923912,53.629,46.349,17.398,2.0,32.0,20.058,32.6126,28.754,44.566,38.6136,53.813,43.012,35.6114,35.3227,44.87,33.0177,65.6117,+8.43
_Pittsburgh,ACC,36,26,117.717,94.72,0.923813,50.7117,46.76,16.353,9.0,32.0,19.2106,37.221,29.065,44.369,36.492,50.1101,45.561,35.1129,32.673,26.9312,33.5195,61.8303,+4.222
_Connecticut,Amer,40,32,113.049,92.09,0.914414,51.582,44.615,17.398,7.0,1.0,19.679,30.4206,32.8249,38.3233,35.776,48.1195,42.28,38.724,33.093,34.3137,32.6161,62.8262,+4.817
_UCLA,P12,37,28,119.69,97.346,0.914115,54.12,49.9177,14.58,4.0,16.0,20.346,29.8231,28.647,38.2235,35.776,53.020,48.6171,38.041,34.4170,27.5299,41.6348,68.233,+4.618
_Syracuse,ACC,34,28,114.731,93.512,0.912916,48.2227,48.0108,14.815,3.0,32.0,21.915,38.111,31.5180,38.2235,36.797,47.7212,45.561,33.1220,34.5173,27.0309,40.5342,59.5343,+7.97
_Creighton,BE,35,27,125.72,102.6126,0.911517,58.91,48.512,15.018,3.0,32.0,14.8342,27.7284,27.825,33.9316,33.039,56.32,47.0113,41.41,34.2156,44.68,34.5231,63.4235,+5.714
_Ohio_St_,B10,35,25,108.9108,89.24,0.908218,50.3134,45.223,17.287,6.0,,21.915,29.6237,29.692,42.3108,29.89,51.164,45.974,32.4263,29.35,32.9171,31.6124,63.4239,+4.520
