Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Duke,ACC,40,35,121.81,89.16,0.97311,50.591,43.77,16.516,1.0,1.0,21.398,40.76,32.3158,37.9158,34.197,46.9202,44.136,38.523,28.32,32.9154,25.411,64.8221,+8.43
_Kansas,B12,36,33,121.02,91.011,0.96342,55.19,43.24,18.788,1.0,32.0,20.0190,38.423,31.7121,41.385,31.448,52.719,40.11,40.47,33.1112,30.7220,32.3169,67.0111,+11.71
_Syracuse,BE,35,30,118.56,91.414,0.95213,57.62,45.949,21.4229,1.0,16.0,22.067,37.137,34.3250,36.9187,25.66,57.11,46.2108,39.116,30.219,30.9213,40.2339,69.533,+7.55
_Kentucky,SEC,38,35,115.52,89.15,0.95204,53.032,43.13,20.3164,1.0,8.0,19.7211,40.94,31.8127,43.653,29.725,54.56,41.15,33.1219,31.346,31.3195,33.8224,68.170,+8.72
_Ohio_St_,B10,37,29,118.09,92.823,0.94095,56.14,47.187,17.536,2.0,16.0,21.875,29.5278,29.448,35.8219,26.48,54.83,45.162,39.017,33.7144,35.498,36.1287,64.5228,+5.68
_Kansas_St_,B12,36,28,116.914,92.018,0.94056,50.687,46.875,19.9141,2.0,8.0,23.521,40.67,34.0233,50.34,47.3312,49.0117,45.268,36.179,33.7144,32.1173,30.388,68.946,+6.76
_Baylor,B12,35,27,120.44,95.348,0.93677,54.415,44.52,20.3164,3.0,8.0,17.8297,38.226,33.2198,36.1213,34.299,53.017,41.37,38.130,33.7144,32.4168,34.4240,64.1251,+5.59
_West_Virginia,BE,38,31,117.312,92.825,0.93618,48.916,46.981,18.362,2.0,4.0,20.6150,42.02,32.1144,39.6115,39.1207,48.0158,46.1104,33.7190,32.478,34.8105,32.2162,62.0310,+8.04
_Wisconsin,B10,33,24,116.118,92.119,0.93509,51.462,46.875,14.52,4.0,32.0,19.9198,30.2252,26.43,32.5295,36.0138,50.081,45.162,35.798,34.3181,39.441,25.310,58.8340,+3.819
_Purdue,B10,35,29,109.269,87.73,0.92601,49.1151,44.826,16.312,4.0,16.0,23.424,29.4281,31.8127,38.6133,36.8157,49.795,41.68,31.8262,35.4235,30.0235,28.138,66.0162,+6.57
_BYU,MWC,35,29,117.71,94.639,0.924811,54.911,46.668,15.96,7.0,32.0,22.067,30.8227,28.123,38.9127,36.4145,51.347,44.648,41.43,33.8150,33.2149,32.3169,70.321,+4.116
_Texas_A_M,B12,33,23,112.342,91.112,0.916912,49.6131,46.774,18.469,5.0,32.0,20.6150,33.5142,29.757,48.49,35.4129,49.0117,44.957,33.8187,33.6140,34.3124,33.3203,64.6227,+4.314
_California,P10,35,24,120.43,97.88,0.916113,53.329,48.3139,17.743,8.0,32.0,18.7261,34.794,31.1101,35.4232,33.384,52.028,48.8212,37.446,31.653,30.0235,31.0114,66.8124,+1.734
_Butler,Horz,38,33,109.863,89.67,0.912514,51.08,46.668,18.788,5.0,2.0,21.682,30.4247,27.413,46.916,34.6109,50.954,46.1104,34.2167,31.758,39.837,31.6130,62.9290,+4.613
