,Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
30,Marquette,BE,33,23,116.739,96.531,0.898431,52.0114,49.9127,13.58,7.0,21.418,30.0178,31.0242,25.9345,30.5115,54.75,51.3196,32.6233,31.863,46.438,39.4198,67.9154,3.728
31,Mississippi_St_,SEC,33,21,118.326,98.85,0.888832,51.7122,51.9236,15.139,8.0,18.975,33.957,29.9186,31.5219,35.3238,55.536,50.3143,31.4295,35.8298,42.789,44.0322,68.2136,3.13
32,Creighton,BE,34,24,117.332,98.343,0.885033,55.823,47.025,18.1242,9.0,11.6361,26.4278,27.255,28.631,17.21,60.42,46.215,34.5137,32.6101,48.911,35.36,67.4186,3.131
33,Connecticut,BE,33,23,121.616,102.092,0.882935,55.527,48.359,17.1174,8.0,15.7275,35.525,27.874,30.8245,41.0342,57.016,45.81,34.812,35.0246,42.789,34.234,64.1339,2.335
34,North_Carolina,ACC,35,22,118.921,99.865,0.881636,54.252,49.6115,15.139,11.0,15.3301,29.1206,26.944,34.8124,30.5115,54.555,49.1101,35.673,33.5155,37.2217,38.1154,70.834,1.343
35,Xavier,BE,32,21,116.341,97.838,0.879737,53.955,50.6164,16.095,11.0,17.6135,24.4326,25.517,36.766,28.669,51.2166,50.6159,39.14,34.4214,37.6205,37.4123,69.29,0.465
36,Colorado_St_,MWC,34,25,116.934,98.646,0.876238,55.823,48.568,17.4193,12.0,16.7197,27.0262,25.82,31.6211,33.2187,56.425,47.752,36.353,33.213,42.886,38.0146,66.1259,0.748
37,Oregon,B10,33,24,115.153,97.237,0.874839,52.2105,49.193,16.2108,5.0,17.5146,30.5161,29.1141,33.0178,27.547,53.199,49.7123,34.4144,31.761,38.3186,37.8139,68.114,5.812
38,New_Mexico,MWC,33,26,111.787,94.918,0.86694,50.8172,49.296,15.666,10.0,20.332,31.3133,25.82,37.353,35.0229,50.7188,48.268,34.0164,33.8175,31.7336,38.3157,72.96,2.733
39,Vanderbilt,SEC,32,20,118.722,101.284,0.862142,51.7122,52.9275,14.728,10.0,19.849,31.6124,29.7173,33.4167,38.5306,53.586,51.4201,32.5241,36.6327,40.4142,37.7134,69.766,1.64
40,Arkansas,SEC,33,20,111.983,95.422,0.861643,52.788,48.359,16.5132,10.0,17.2168,28.123,29.9186,35.697,29.281,54.161,47.957,32.723,31.449,36.6241,38.9182,69.474,1.442
