Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result
2023_Texas_A_M_Corpus_Chris,Slnd,35,24,105.8146,107.4246,0.4566187,50.5181,52.629,17.7141,16.0,
2023_Howard,MEAC,35,22,102.7204,106.322,0.4025218,51.8101,50.9197,22.9356,16.0,
2023_Fairleigh_Dickinson,NEC,37,21,106.1136,114.735,0.2909264,51.313,54.7337,16.355,16.0,32.0
2023_Southeast_Missouri_St_,OVC,36,19,99.4275,107.8259,0.2823268,50.1202,51.3221,17.3104,16.0,
2023_Texas_Southern,SWAC,35,14,95.4332,105.42,0.2395293,46.1336,49.6122,20.3313,16.0,
2011_Ohio_St_,B10,37,34,126.01,91.811,0.97421,56.32,48.3126,15.87,1.0,16.0
2011_Kansas,B12,38,35,120.94,91.06,0.96332,57.01,44.511,19.1111,1.0,8.0
2011_Duke,ACC,37,32,120.65,91.58,0.96003,53.717,44.511,17.229,1.0,16.0
2011_Texas,B12,36,28,115.521,90.02,0.94604,50.2108,42.53,17.331,4.0,
2011_Kentucky,SEC,38,29,119.37,93.422,0.94375,52.341,44.29,16.11,4.0,4.0
2011_Pittsburgh,BE,34,28,119.86,94.126,0.94136,52.928,45.118,18.475,1.0,32.0
2011_Wisconsin,B10,34,25,123.13,97.865,0.93337,51.854,48.2122,13.11,4.0,16.0
2011_Notre_Dame,BE,34,27,123.12,98.17,0.93178,53.519,46.762,16.414,2.0,32.0
2011_Purdue,B10,34,26,115.222,92.013,0.92969,50.789,46.035,15.76,3.0,32.0
2011_San_Diego_St_,MWC,35,32,113.729,90.95,0.92901,50.5101,44.18,16.92,2.0,16.0
2011_North_Carolina,ACC,37,29,112.739,90.74,0.924211,49.1168,46.243,18.37,2.0,8.0
2011_Illinois,B10,34,20,114.925,92.516,0.923212,52.928,45.729,19.2116,9.0,32.0
2011_Connecticut,BE,41,32,115.818,93.623,0.920113,48.2211,44.511,17.126,3.0,1.0
2011_Louisville,BE,35,25,111.848,90.63,0.918214,52.635,44.511,19.0106,4.0,
2011_Syracuse,BE,34,26,115.024,93.221,0.917815,53.222,45.221,18.891,3.0,32.0
2011_BYU,MWC,36,31,117.213,95.24,0.915716,51.659,46.762,15.23,3.0,16.0
2011_Florida,SEC,37,29,116.417,95.442,0.908117,52.145,47.28,18.788,2.0,8.0
2011_Washington,P10,35,24,118.49,97.157,0.906618,53.717,46.451,16.817,7.0,32.0
2011_West_Virginia,BE,33,21,115.52,95.238,0.902419,48.5194,45.932,18.891,5.0,32.0
